Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Electronegativity (eV), ΔN_Fe ,IE EXP (%),IE% Prediction GBR POLY 60:40,IE% Prediction catBost POLY 60:40,Random Forest 70:30
68.08,7,-0.08,0.9,28.68,6.56,-5.805,-0.375,3.09,0.720073665,89,88.97270379,88.97270379,89.0044
280.4,9.5,4.8,-3.6,6.48,33.39,-4.886,-1.443,3.1645,1.113999419,,94.28276702,94.36831527,93.20784
281.3,5.8,2.86,-3.3,57.61,30.24,-5.758,-2.669,4.2135,0.902071868,,92.32802746,91.64406447,93.47964
347.5,7.7,3.19,-4.6,48.13,40.72,-5.138,-2.114,3.626,1.115740741,,92.69305253,92.61233978,91.08448
231.25,10.4,1.43,-3,67.16,24.51,-5.76,-2.18,3.97,0.846368715,,87.29244306,86.31450903,90.92544
137.14,1.82,-0.7,0.01,68.01,13.21,-6.088,-2.67,4.379,0.766822703,75.4,87.29539938,87.23038083,88.6279
"211,26",9.81,1.4,-1.6,72.72,23.04,-5.468,-1.325,3.3965,0.869780352,,89.32022017,88.79111304,87.6622
"301,4",9.65,2.56,-3.8,-3.8,34.12,-5.771,-1.512,3.6415,0.788565391,,88.4200773,90.57853405,90.47524
484.5,7.2,-7.1,-0.72,282.61,47.57,-5.852,4.514,0.669,0.610746672,90.96,90.9357299,90.9357299,89.3098
197.19,2.32,0.05,-1.8,103.78,18.91,-5.861,-1.714,3.7875,0.774656378,,76.31739823,74.60090767,86.9787
328.5,9.2,4.68,-4.8,15.71,36.77,-4.659,-1.484,3.0715,1.237322835,,93.78610432,93.57050478,92.33364
257.37,8.9,2.9,-3.2,23.47,29.84,-5.007,-1.357,3.182,1.046027397,,95.20044761,95.10491742,94.416
234.3373,7.9,2.44,-1.76,32.34,27.77,-5.554,-1.441,3.4975,0.851568198,,91.52950385,92.27383314,92.59924
406.5,7.5,-0.32,-1.1,122.49,43.72,-5.41,-0.556,2.983,0.827564895,,87.85481859,87.56902692,89.97064
167.29,11.2,2.37,-3.1,12.03,20.74,-5.424,5.057,0.1835,0.650367331,,86.7773058,86.381726,83.9837
241.28,4.3,5.12,-3.78,49.33,49.33,-5.44,-2.483,3.9615,1.027561718,95,94.97371029,94.97371029,94.29428
163.26,10.3,2.52,-2.6,12.03,19.79,-5.584,-1.366,3.475,0.835704125,,95.21098404,95.24932314,86.7448
247.33,8.7,2.72,-1.89,29.54,28.09,-5.245,-1.577,3.411,0.978462377,,94.33923487,95.10246141,93.4707
